ID X PCODE,Label
F86J5PC X P5DA,0.0
H6141K3 X P5DA,0.0
RBAYUXZ X P5DA,0.0
KCBILBQ X P5DA,0.0
LSEC1ZJ X P5DA,0.0
EK65KRH X P5DA,0.0
M3N7TLU X P5DA,0.0
QAC6HOX X P5DA,0.0
T8B9JK0 X P5DA,0.0
62M79HM X P5DA,0.0
VIFSSA7 X P5DA,0.0
I8ONWLM X P5DA,0.0
B0FID1U X P5DA,0.0
ZHVYJ0A X P5DA,0.0
1IWADO4 X P5DA,0.0
2PAL7JV X P5DA,0.0
29RYY4N X P5DA,0.0
X9NBDB4 X P5DA,0.0
UITK6GR X P5DA,0.0
JONQI5H X P5DA,0.0
ZV7EC7L X P5DA,0.0
BWT1QRH X P5DA,0.0
C285E9K X P5DA,0.0
BZH5P4P X P5DA,0.0
2OQOFQT X P5DA,0.0
I58UV5Q X P5DA,0.0
XGUUGI1 X P5DA,0.0
EMVH2HP X P5DA,0.0
W019HSR X P5DA,0.0
7J868QB X P5DA,0.0
DSYNYH6 X P5DA,0.0
GB16H1Y X P5DA,0.0
Z2B00YJ X P5DA,0.0
HLVUKNT X P5DA,0.0
F5SDCA2 X P5DA,0.0
E71I179 X P5DA,0.0
FRXT1NR X P5DA,0.0
C1ESAII X P5DA,0.0
SREJ35I X P5DA,0.0
CVSALUL X P5DA,0.0
4YK8AHG X P5DA,0.0
V1D1V61 X P5DA,0.0
OFTTFVA X P5DA,0.0
ZP4XRXH X P5DA,0.0
NMJLZ69 X P5DA,0.0
IF9FMGQ X P5DA,0.0
UG4E9PD X P5DA,0.0
SLM9TVU X P5DA,0.0
EX4RJUI X P5DA,0.0
RM83MX8 X P5DA,0.0
HRHRU0R X P5DA,0.0
5TPCQ92 X P5DA,0.0
VNTQ5OJ X P5DA,0.0
YQL180J X P5DA,0.0
IXU4U3F X P5DA,0.0
65L8ZEI X P5DA,0.0
PISADDO X P5DA,0.0
ETO6FI5 X P5DA,0.0
DM4HPC0 X P5DA,0.0
L8YJP9S X P5DA,0.0
52NTA43 X P5DA,0.0
K9I5PJK X P5DA,0.0
6VP4W8Z X P5DA,0.0
Z2YWC78 X P5DA,0.0
AFX0PVD X P5DA,0.0
RP8INPA X P5DA,0.0
9H9YMIK X P5DA,0.0
4SFOQH7 X P5DA,0.0
8JCGCPC X P5DA,0.0
HBNU2YT X P5DA,0.0
93M99O9 X P5DA,0.0
MUQXKOY X P5DA,0.0
HQS5W27 X P5DA,0.0
FIQRPS3 X P5DA,0.0
FHS7I0J X P5DA,0.0
B7P1ZV5 X P5DA,0.0
FD8BL0R X P5DA,0.0
5WPM6O7 X P5DA,0.0
4H4TACH X P5DA,0.0
GA7T35M X P5DA,0.0
M5KN0C6 X P5DA,0.0
LNCMJRZ X P5DA,0.0
UUJ1MO7 X P5DA,0.0
A7SWLWX X P5DA,0.0
984BM2Z X P5DA,0.0
2GKAWKU X P5DA,0.0
UX1T2X8 X P5DA,0.0
0YNOCW5 X P5DA,0.0
D4SVCJR X P5DA,0.0
C3VT449 X P5DA,0.0
6D65JZK X P5DA,0.0
06XIR1O X P5DA,0.0
CZRKSH7 X P5DA,0.0
S4946WA X P5DA,0.0
81FF25N X P5DA,0.0
NEHYFM0 X P5DA,0.0
23844G6 X P5DA,0.0
YE0G7N2 X P5DA,0.0
BU1QCGZ X P5DA,0.0
FR2Q0AU X P5DA,0.0
6BUG7BL X P5DA,0.0
NUUKEYW X P5DA,0.0
KA2G875 X P5DA,0.0
LPJZSXX X P5DA,0.0
0HUP7S9 X P5DA,0.0
HEOU8EY X P5DA,0.0
594WWFF X P5DA,0.0
45Y3HQQ X P5DA,0.0
23D0OIU X P5DA,0.0
4E09PSC X P5DA,0.01
3SHB03T X P5DA,0.0
MVPH89Z X P5DA,0.0
YLN9JIK X P5DA,0.0
0MK267O X P5DA,0.0
7017WET X P5DA,0.0
OXPDLFW X P5DA,0.0
BA0RV61 X P5DA,0.0
W7MBBSG X P5DA,0.0
KZVH80K X P5DA,0.0
YN1KMY8 X P5DA,0.0
PJ22QTG X P5DA,0.0
IWEBT7X X P5DA,0.0
ONSNIPF X P5DA,0.0
WB57GU9 X P5DA,0.0
WASTCPR X P5DA,0.0
IHUV4RB X P5DA,0.01
GNPWQPF X P5DA,0.0
JFYAISJ X P5DA,0.0
4O0K63N X P5DA,0.0
FD5XD99 X P5DA,0.0
ACIJR56 X P5DA,0.0
WXM976T X P5DA,0.0
B6S86DS X P5DA,0.0
BMAGGIT X P5DA,0.0
JAJ70R2 X P5DA,0.0
5IA8HRL X P5DA,0.0
KQOEBSO X P5DA,0.0
AY57UIR X P5DA,0.0
Q1SV3XK X P5DA,0.0
PR404E2 X P5DA,0.0
4VEJKJJ X P5DA,0.0
EKACARI X P5DA,0.0
OCPTF9M X P5DA,0.0
LA0QOHI X P5DA,0.0
52VW7JT X P5DA,0.0
97U35N3 X P5DA,0.0
Q9VYDBU X P5DA,0.0
MRT13CX X P5DA,0.0
HXDYFE2 X P5DA,0.0
K1DORNS X P5DA,0.0
QEJH9KF X P5DA,0.0
GK53KTW X P5DA,0.0
LJ7D1BJ X P5DA,0.0
SOSAYKM X P5DA,0.0
4KLY39S X P5DA,0.0
10F94G4 X P5DA,0.0
PFPNTIL X P5DA,0.0
CMEOEQI X P5DA,0.0
LDROH9Q X P5DA,0.0
K17I3WL X P5DA,0.0
T1CKOXS X P5DA,0.0
WB8LP06 X P5DA,0.0
MA01DO9 X P5DA,0.0
CNWYKCQ X P5DA,0.0
S7PFXVR X P5DA,0.0
JB2OIZW X P5DA,0.0
GLMF0P8 X P5DA,0.0
3MKNNS0 X P5DA,0.0
2QYSE14 X P5DA,0.0
FVH2WCT X P5DA,0.0
AFG57JA X P5DA,0.0
MZTSS9Y X P5DA,0.0
SJH98IK X P5DA,0.0
D26S97Q X P5DA,0.0
CASU0L3 X P5DA,0.0
4DHXLCD X P5DA,0.0
FQ6CSAM X P5DA,0.0
J2I8PNL X P5DA,0.0
GAWXYLU X P5DA,0.0
720Q2YV X P5DA,0.0
81M0LLC X P5DA,0.0
8AAOVHL X P5DA,0.0
25OQPKU X P5DA,0.0
86F563N X P5DA,0.0
02SG9CO X P5DA,0.0
19I2RHS X P5DA,0.0
1YBNOHU X P5DA,0.0
K35X7GB X P5DA,0.0
3Q0WO21 X P5DA,0.0
V77FUOE X P5DA,0.0
1H2HY2J X P5DA,0.0
SELHI7W X P5DA,0.0
KA4GK1J X P5DA,0.0
B050CYI X P5DA,0.0
LUVFDKU X P5DA,0.0
KI0SQ14 X P5DA,0.0
30TY1QW X P5DA,0.0
2G88GHP X P5DA,0.0
SZXTKVR X P5DA,0.01
G5GT1T7 X P5DA,0.0
NTIVZ0E X P5DA,0.0
VRHU4UT X P5DA,0.0
3KG4AWN X P5DA,0.0
G47V3C2 X P5DA,0.0
WG8NSJ2 X P5DA,0.0
6S8A46H X P5DA,0.0
3XPPS4S X P5DA,0.0
JM6LFVJ X P5DA,0.0
9TQ9IGG X P5DA,0.0
CDO6UDH X P5DA,0.0
LGAMK0V X P5DA,0.0
4DRKNIU X P5DA,0.01
6EBUZZC X P5DA,0.0
9J55C3V X P5DA,0.0
80Z8ITF X P5DA,0.0
GCLATRK X P5DA,0.0
Y6F5TX0 X P5DA,0.02
O2TJTI5 X P5DA,0.0
HYMZZF5 X P5DA,0.0
O2UYP2R X P5DA,0.0
6IYYO4J X P5DA,0.0
T1XVKQK X P5DA,0.0
OIVSLJF X P5DA,0.0
ISSZLAP X P5DA,0.0
MOZOBN2 X P5DA,0.0
HYMVH9W X P5DA,0.0
8KH230I X P5DA,0.0
KTO7EZ8 X P5DA,0.0
2YJK4NE X P5DA,0.0
O8OJVMS X P5DA,0.01
Q2GDBJ3 X P5DA,0.0
J1FBD0T X P5DA,0.0
M1I15EN X P5DA,0.0
OME51I9 X P5DA,0.0
B3O1125 X P5DA,0.0
NZEC3LJ X P5DA,0.0
CYA03QS X P5DA,0.0
9J924Z2 X P5DA,0.0
EHFW7AX X P5DA,0.0
L230GRC X P5DA,0.0
NPCQZ91 X P5DA,0.0
BV7NQ0G X P5DA,0.0
MANMB3O X P5DA,0.0
1DLW303 X P5DA,0.0
GHZTX9U X P5DA,0.0
WFZQ9I1 X P5DA,0.0
WBALUJ0 X P5DA,0.0
QNGKD7K X P5DA,0.0
FM6JXWV X P5DA,0.0
882RJTR X P5DA,0.0
QBG5L15 X P5DA,0.0
9PH2FM3 X P5DA,0.0
OKJXXOX X P5DA,0.0
D8W7HSI X P5DA,0.0
YW8R1ST X P5DA,0.0
EFX2DWB X P5DA,0.0
3BC9VQ6 X P5DA,0.0
EX1I00M X P5DA,0.0
X5B331M X P5DA,0.0
ZM6F6TK X P5DA,0.0
9S6EI8L X P5DA,0.0
OIAET2V X P5DA,0.0
JN2LMZA X P5DA,0.0
0Z9SJJ8 X P5DA,0.0
K6Y03J3 X P5DA,0.0
MLBAB6X X P5DA,0.0
AKB5YVP X P5DA,0.0
59LY8G3 X P5DA,0.0
TDKYW2K X P5DA,0.0
V6SYL84 X P5DA,0.0
